figure,panel,quantitative_microplots,dataset_ids,displayed_estimate,observational_unit,interval_or_spread,inference_limits
Fig03,b,2,sd_b07fc4cdf35bbed1061b;sd_ce2da33f72d613da0bf6,Seven mean_validated_score estimates; six paired mean_gain estimates versus static/reference methods.,"36 matched historical task conditions: 18 per graph, two graph seeds; not 36 independent networks.","Saved ci95_low/high: 10,000-resample condition-level mean bootstrap, not graph-level intervals.",Historical discovery summaries; nominal table P values are not plotted or promoted to independent-graph confirmation.
Fig03,c,1,sd_340b094087aa383ddf80,optimizer_search_best versus final_score_mean; identity reference line.,"36 matched historical task conditions: 18 per graph, two graph seeds; not 36 independent networks.",No intervals or P value.,Search and validation differ; a scatter association is not algorithm-superiority evidence.
Fig03,d,2,sd_22e0303c79bf9f2bf307;sd_4142c087dc9bbf848240,Nine mean descriptor shifts versus spectral; eight descriptor-gain Spearman correlations sorted by signed rho.,"36 matched historical task conditions: 18 per graph, two graph seeds; not 36 independent networks.","Left saved 10,000-resample condition-bootstrap ci95_low/high; right no interval.","Different descriptors have different units. Association is descriptive, not causal mediation."
Fig03,e,1,sd_db6513feb18f8244a58c;sd_ce2da33f72d613da0bf6,"Discovery36, five spectral-reference strata108/27/27/27/36, then pooled225; read stored mean and interval fields.",Task conditions within historical graph/topology/size strata; pooled225 is exactly the five-stratum union.,"Stored 10,000-resample task-condition percentile bootstrap; not 225 independent graph replicates.",Pooled core is descriptive and overlaps the five strata; it is not a sixth independent replication.
Fig03,f,1,sd_c16cc414a8f01ec8f726;sd_2fe45a875165fe9d1f47,"delayed_recall: min normalized_score over states separately for each mask, then mean eight unselected/four group-matched masks within graph; selected/budget-random use their own minima.",12 new graph realizations; same graph cohort in all six tasks and both plotted examples.,"Each point is a graph; horizontal marks are arithmetic means, no CI.",All four plotted method families retained; minimum-before-control-mean is not mean-before-minimum.
Fig03,g,1,sd_2fe45a875165fe9d1f47,delayed_recall: selected-minus-unselected and selected-minus-group-matched graph values and means.,Same 12 task graphs; task examples selected after inspecting the full six-task battery.,"Frozen 20,000-resample graph-bootstrap percentile CI; displayed exact two-sided sign-flip P adjusted by Holm over six tasks separately within each reference family.","Secondary reference comparisons, not population-search versus equal-budget-random-search superiority."
Fig03,h,1,sd_c16cc414a8f01ec8f726;sd_2fe45a875165fe9d1f47,"interval: min normalized_score over states separately for each mask, then mean eight unselected/four group-matched masks within graph; selected/budget-random use their own minima.",12 new graph realizations; same graph cohort in all six tasks and both plotted examples.,"Each point is a graph; horizontal marks are arithmetic means, no CI.",All four plotted method families retained; minimum-before-control-mean is not mean-before-minimum.
Fig03,i,1,sd_2fe45a875165fe9d1f47,interval: selected-minus-unselected and selected-minus-group-matched graph values and means.,Same 12 task graphs; task examples selected after inspecting the full six-task battery.,"Frozen 20,000-resample graph-bootstrap percentile CI; displayed exact two-sided sign-flip P adjusted by Holm over six tasks separately within each reference family.","Secondary reference comparisons, not population-search versus equal-budget-random-search superiority."
Fig03,j,4,sd_b01ede95291d1677a941,mean_gain versus k/N for ER/modular/scale-free/small-world; separate curves by regime and phase.,"81 topology/size/phase/state/budget summary rows from225 historical task conditions, not81 independent graphs.","Stored bootstrap95_low/high; original10,000 condition resamples within each curve point.",Descriptive archival landscape; not new tasks or a complete state-space guarantee.
Fig04,b,1,sd_bd0ed04d2f6d3ff21c46,"Allocation Jaccard distance versus fresh_score_gap; k8/32/64, epsilon0.02 reference.",162 pair rows: six pairwise comparisons among four sampled candidates in each of27 graph/state/budget conditions.,No uncertainty interval.,Pairs share masks and graphs; four searches do not enumerate the solution space.
