figure,panel,quantitative_microplots,dataset_ids,displayed_estimate,observational_unit,interval_or_spread,inference_limits
ED01,a,1,sd_a0e679744f600df3e385,Six directed-pair transfer penalties; nine graph-budget values per pair.,Three closure graphs 42001–42003; three budgets nested within graph.,"Median, IQR and 1.5-IQR whiskers; all nested observations shown as points; no effect confidence interval.","Budgets/states/noise/search repeats are nested; closure, calibration and inference graph cohorts are distinct. Historical dense state is auxiliary. No new result or universal optimizer superiority inferred."
ED01,b,1,sd_a0e679744f600df3e385,"Average two foreign-source penalties within graph/budget/target state, then mean across graphs.",Three closure graphs 42001–42003; three budgets nested within graph.,"Mean ± 1.96 sample SEM across three graph values per budget; descriptive normal approximation, NOT bootstrap/resampling or a calibrated small-sample t interval.","Budgets/states/noise/search repeats are nested; closure, calibration and inference graph cohorts are distinct. Historical dense state is auxiliary. No new result or universal optimizer superiority inferred."
ED01,c,1,sd_a0e679744f600df3e385,"Forward minus reverse penalty matched on graph and budget, nine values per unordered state pair.",Three closure graphs 42001–42003; three budgets nested within graph.,"Median, IQR and 1.5-IQR whiskers; all nested observations shown as points; no effect confidence interval.","Budgets/states/noise/search repeats are nested; closure, calibration and inference graph cohorts are distinct. Historical dense state is auxiliary. No new result or universal optimizer superiority inferred."
ED01,d,1,sd_93cace5ae14b9907cd1c,crossover_interaction by graph/budget with mean over graphs.,Three closure graphs 42001–42003; three budgets nested within graph.,"Mean ± 1.96 sample SEM across three graph values per budget; descriptive normal approximation, NOT bootstrap/resampling or a calibrated small-sample t interval.","Budgets/states/noise/search repeats are nested; closure, calibration and inference graph cohorts are distinct. Historical dense state is auxiliary. No new result or universal optimizer superiority inferred."
ED01,e,1,sd_93cace5ae14b9907cd1c,mid_home_advantage by graph/budget with mean over graphs.,Three closure graphs 42001–42003; three budgets nested within graph.,"Mean ± 1.96 sample SEM across three graph values per budget; descriptive normal approximation, NOT bootstrap/resampling or a calibrated small-sample t interval.","Budgets/states/noise/search repeats are nested; closure, calibration and inference graph cohorts are distinct. Historical dense state is auxiliary. No new result or universal optimizer superiority inferred."
ED01,f,1,sd_93cace5ae14b9907cd1c,sparse_home_advantage by graph/budget with mean over graphs.,Three closure graphs 42001–42003; three budgets nested within graph.,"Mean ± 1.96 sample SEM across three graph values per budget; descriptive normal approximation, NOT bootstrap/resampling or a calibrated small-sample t interval.","Budgets/states/noise/search repeats are nested; closure, calibration and inference graph cohorts are distinct. Historical dense state is auxiliary. No new result or universal optimizer superiority inferred."
ED01,g,1,sd_93cace5ae14b9907cd1c,All nine graph-by-budget crossover values; symmetric signed color scale.,Three closure graphs 42001–42003; three budgets nested within graph.,No interval.,"Budgets/states/noise/search repeats are nested; closure, calibration and inference graph cohorts are distinct. Historical dense state is auxiliary. No new result or universal optimizer superiority inferred."
ED01,h,1,sd_93cace5ae14b9907cd1c,Three within-graph budget-averaged crossovers plus their group mean.,Three closure graphs 42001–42003; three budgets nested within graph.,No interval.,"Budgets/states/noise/search repeats are nested; closure, calibration and inference graph cohorts are distinct. Historical dense state is auxiliary. No new result or universal optimizer superiority inferred."
ED01,i,1,sd_42182c12681e02cbda85,"Paired original-simple, complex and matched-simple rates and mean absolute matched residual.",12 conditions = three separate calibration graphs × two states × two noise seeds.,No interval.,"Budgets/states/noise/search repeats are nested; closure, calibration and inference graph cohorts are distinct. Historical dense state is auxiliary. No new result or universal optimizer superiority inferred."
ED01,j,1,sd_42a8268ad01d7f982db1,"Paired primary/equal-budget-random held-out home scores, each graph mean over two states at repeat0.",12 inference graphs 93001–93012.,"Individual paired points, no CI; original exact one-sided sign-flip P=1/4096.","Budgets/states/noise/search repeats are nested; closure, calibration and inference graph cohorts are distinct. Historical dense state is auxiliary. No new result or universal optimizer superiority inferred."
ED01,k,1,sd_9a00c5a543586f7b5b62;sd_7ada3091abd728801a55,Mean rhythm-score crossover for four variants using repeat0.,Same12 inference graphs per variant.,"20,000 percentile graph-bootstrap draws; seeds20260829+i in fixed variant order; separate original one-sided tests, no new adjustment.","Budgets/states/noise/search repeats are nested; closure, calibration and inference graph cohorts are distinct. Historical dense state is auxiliary. No new result or universal optimizer superiority inferred."
ED01,l,1,sd_3edb43a22a047ecbf523,Cumulative best search score minus first-search score; six trajectories and pooled mean.,Three inference graphs × two states ×20nested search depths.,No interval; descriptive trajectories.,"Budgets/states/noise/search repeats are nested; closure, calibration and inference graph cohorts are distinct. Historical dense state is auxiliary. No new result or universal optimizer superiority inferred."
ED01,m,2,sd_3edb43a22a047ecbf523,"Held-out score of search-selected winner minus its value after one search, separately by state; three graph trajectories and their mean.",Same three graphs ×two states ×20depths; held-out winner may decrease.,No interval.,"Budgets/states/noise/search repeats are nested; closure, calibration and inference graph cohorts are distinct. Historical dense state is auxiliary. No new result or universal optimizer superiority inferred."
ED01,n,2,sd_42182c12681e02cbda85,"Matched-simple minus complex rate, six observations/state, sorted by graph and noise seed.","Same12 calibration conditions as i, not a new cohort.",No interval.,"Budgets/states/noise/search repeats are nested; closure, calibration and inference graph cohorts are distinct. Historical dense state is auxiliary. No new result or universal optimizer superiority inferred."
