new_figure,new_panel,row,column_start,column_span,quant_microplots,source_id,component,topic,work,scientific_recomputation_required
Fig01,a,1,1,2,0,Fig01a,complete,设计示意,reconstruct_illustration,False
Fig01,b,1,3,2,1,Fig01g,complete,独立图主要及活动匹配检验,reflow_or_combine_existing_plots,False
Fig01,c,2,1,2,1,Fig01c,complete,完整转移矩阵,reflow_or_combine_existing_plots,False
Fig01,d,2,3,1,1,Fig01e,complete,本状态优势,reflow_or_combine_existing_plots,False
Fig01,e,2,4,1,1,Fig01f,complete,本状态与异状态分数,reflow_or_combine_existing_plots,False
Fig01,f,3,1,2,1,Fig01b,complete,状态×预算收益,reflow_or_combine_existing_plots,False
Fig01,g,3,3,2,1,Fig01d,complete,预算依赖交叉效应,reflow_or_combine_existing_plots,False
Fig01,h,4,1,2,1,SI09a,complete,校准扫描1,reflow_or_combine_existing_plots,False
Fig01,i,4,3,2,1,SI09b,complete,校准扫描2,reflow_or_combine_existing_plots,False
Fig02,a,1,1,2,0,Fig02a,complete,数量与位置示意,reconstruct_illustration,False
Fig02,b,1,3,2,2,Fig02c,complete,两窗口状态组成,reflow_or_combine_existing_plots,False
Fig02,c,2,1,3,3,Fig02b,complete,组成剂量响应,reflow_or_combine_existing_plots,False
Fig02,d,2,4,1,1,Fig02g,complete,归一化配置表现,reflow_or_combine_existing_plots,False
Fig02,e,3,1,2,2,Fig02d,complete,涌现与单位收益,reflow_or_combine_existing_plots,False
Fig02,f,3,3,2,2,Fig02f,complete,复杂度需求与经济性,reflow_or_combine_existing_plots,False
Fig02,g,4,1,4,4,Fig02h,complete,四拓扑预算曲线,reflow_or_combine_existing_plots,False
Fig02,h,5,1,2,2,Fig02i,complete,优胜规则及配置图谱,reflow_or_combine_existing_plots,False
Fig02,i,5,3,1,1,Fig02j,complete,拓扑节省幅度,reflow_or_combine_existing_plots,False
Fig02,j,5,4,1,1,Fig02k,complete,正节省比例,reflow_or_combine_existing_plots,False
Fig03,a,1,1,2,0,Fig03a,complete,配置与杠杆示意,reconstruct_illustration,False
Fig03,b,1,3,2,2,Fig03b,complete,新噪声分数及配对收益,reflow_or_combine_existing_plots,False
Fig03,c,2,1,1,1,Fig03c,complete,搜索与验证分离,reflow_or_combine_existing_plots,False
Fig03,d,2,2,2,2,SI13d,complete,配置描述子及关联,reflow_or_combine_existing_plots,False
Fig03,e,2,4,1,1,SI13e,complete,跨阶段确认,reflow_or_combine_existing_plots,False
Fig03,f,3,1,1,1,TASK_DELAY_ABSOLUTE,complete,延迟回忆逐图最差状态绝对表现,redraw_existing_statistics,False
Fig03,g,3,2,1,1,TASK_DELAY_GAIN,complete,延迟回忆对未选及分组匹配参照的配对收益,redraw_existing_statistics,False
Fig03,h,3,3,1,1,TASK_INTERVAL_ABSOLUTE,complete,间隔辨别逐图最差状态绝对表现,redraw_existing_statistics,False
Fig03,i,3,4,1,1,TASK_INTERVAL_GAIN,complete,间隔辨别对未选及分组匹配参照的配对收益,redraw_existing_statistics,False
Fig03,j,4,1,4,4,SI13f,complete,四拓扑预算增益,reflow_or_combine_existing_plots,False
Fig04,a,1,1,2,0,SHARED_SCHEMATIC,complete,共享与状态专用配置示意,reconstruct_illustration,False
Fig04,b,1,3,1,1,Fig04a,complete,配置距离与分数差,reflow_or_combine_existing_plots,False
Fig04,c,1,4,1,1,Fig04b,complete,采样多样性与预算,reflow_or_combine_existing_plots,False
Fig04,d,2,1,1,1,ED08a,complete,采样并集扩张,reflow_or_combine_existing_plots,False
Fig04,e,2,2,1,1,ED08b,complete,采样共享核心,reflow_or_combine_existing_plots,False
Fig04,f,2,3,1,1,ED08d,complete,采样选择熵,reflow_or_combine_existing_plots,False
Fig04,g,2,4,1,1,Fig04c,complete,独立噪声复评一致性,reflow_or_combine_existing_plots,False
Fig04,h,3,1,1,1,Fig04e,complete,专用减共享差值,reflow_or_combine_existing_plots,False
Fig04,i,3,2,1,1,Fig04f,complete,共享减预算随机收益,reflow_or_combine_existing_plots,False
Fig04,j,3,3,1,1,ED08e,complete,两状态损失联合图,reflow_or_combine_existing_plots,False
Fig04,k,3,4,1,1,SHARED_SUFFICIENCY,complete,冻结ε充分性上界,redraw_existing_statistics,False
Fig04,l,4,1,1,1,Fig04g,complete,局部扰动网格平均收益,reflow_or_combine_existing_plots,False
Fig04,m,4,2,1,1,Fig04h,complete,局部扰动条件收益矩阵,reflow_or_combine_existing_plots,False
Fig04,n,4,3,1,1,ED08f,complete,共享与专用集合重叠,reflow_or_combine_existing_plots,False
Fig04,o,4,4,1,1,Fig04d,complete,状态×预算多样性,reflow_or_combine_existing_plots,False
Fig05,a,1,1,2,0,Fig05a,complete,细胞机制与局部连接示意,reconstruct_illustration,False
Fig05,b,1,3,1,1,Fig05b,complete,最低充分机制成本,reflow_or_combine_existing_plots,False
Fig05,c,1,4,1,1,Fig05d,complete,全流程置换,reflow_or_combine_existing_plots,False
Fig05,d,2,1,2,2,Fig05c,complete,秩信息及绝对预测误差,reflow_or_combine_existing_plots,False
Fig05,e,2,3,1,1,Fig05e,complete,生物分组泛化,reflow_or_combine_existing_plots,False
Fig05,f,2,4,1,1,Fig05g,complete,容差稳定性,reflow_or_combine_existing_plots,False
Fig05,g,3,1,2,2,Fig05f,complete,特征关联及类别消融,reflow_or_combine_existing_plots,False
Fig05,h,3,3,2,2,Fig05h,complete,主及保守代理映射,reflow_or_combine_existing_plots,False
Fig05,i,4,1,2,2,Fig05i,complete,身份吸收与组内组间分解,reflow_or_combine_existing_plots,False
Fig05,j,4,3,1,1,Fig05j,heldout_increment,局部预测增量与动力学端点,reflow_or_combine_existing_plots,False
Fig05,k,4,4,1,1,Fig05k,complete,条件化局部端点效应,reflow_or_combine_existing_plots,False
Fig06,a,1,1,2,0,Fig06a,complete,记录与跨状态组织示意,reconstruct_illustration,False
Fig06,b,1,3,2,2,Fig06b,complete,Steinmetz稳定性及骨架,reflow_or_combine_existing_plots,False
Fig06,c,2,1,2,2,Fig06c,complete,Allen稳定性及质量门槛,reflow_or_combine_existing_plots,False
Fig06,d,2,3,2,2,Fig06d,complete,跨数据集状态对照与骨架,reflow_or_combine_existing_plots,False
Fig06,e,3,1,2,2,Fig06e,complete,主读出配对及逐鼠效应,reflow_or_combine_existing_plots,False
Fig06,f,3,3,1,1,Fig06f,permutation_and_merged_CI,正式效应区间及匹配置换,reflow_or_combine_existing_plots,False
Fig06,g,3,4,1,1,ED07d,complete,互斥单元读出,reflow_or_combine_existing_plots,False
Fig06,h,4,1,1,1,Fig06g,mouse_and_merged_CI,同图像状态辨别及正式区间,reflow_or_combine_existing_plots,False
Fig06,i,4,2,1,1,Fig06h,complete,时间运动刺激混杂,reflow_or_combine_existing_plots,False
Fig06,j,4,3,2,2,Fig06i,complete,真实边缘刺激控制,reflow_or_combine_existing_plots,False
ED01,a,1,1,1,1,ED01a,complete,完整有向转移惩罚,reflow_or_combine_existing_plots,False
ED01,b,1,2,1,1,ED01b,complete,目标状态与预算,reflow_or_combine_existing_plots,False
ED01,c,1,3,1,1,ED01c,complete,转移方向不对称,reflow_or_combine_existing_plots,False
ED01,d,1,4,1,1,ED01d,complete,逐图交叉效应,reflow_or_combine_existing_plots,False
ED01,e,2,1,1,1,ED01e,complete,Mid本状态优势,reflow_or_combine_existing_plots,False
ED01,f,2,2,1,1,ED01f,complete,Sparse本状态优势,reflow_or_combine_existing_plots,False
ED01,g,2,3,1,1,ED01g,complete,图间一致性,reflow_or_combine_existing_plots,False
ED01,h,2,4,1,1,ED01h,complete,预算平均逐图交叉,reflow_or_combine_existing_plots,False
ED01,i,3,1,1,1,ED07b,complete,运行点校准,reflow_or_combine_existing_plots,False
ED01,j,3,2,1,1,ED07e,complete,等预算随机搜索控制,reflow_or_combine_existing_plots,False
ED01,k,3,3,1,1,ED07f,complete,目标及算法变体,reflow_or_combine_existing_plots,False
ED01,l,3,4,1,1,ED07g,complete,搜索深度收益,reflow_or_combine_existing_plots,False
ED01,m,4,1,1,1,ED07h,complete,搜索重复稳定性,reflow_or_combine_existing_plots,False
ED01,n,4,2,1,1,SI09c,complete,校准参数,reflow_or_combine_existing_plots,False
ED01,o,4,3,1,1,SI09d,complete,实际验证活动1,reflow_or_combine_existing_plots,False
ED01,p,4,4,1,1,SI09e,complete,实际验证活动2,reflow_or_combine_existing_plots,False
ED02,a,1,1,1,1,ED02a,complete,频率转变强度,reflow_or_combine_existing_plots,False
ED02,b,1,2,1,1,ED02b,complete,频率状态组成,reflow_or_combine_existing_plots,False
ED02,c,1,3,1,1,ED02c,complete,节律转变强度,reflow_or_combine_existing_plots,False
ED02,d,1,4,1,1,ED02d,complete,窗口节律组织,reflow_or_combine_existing_plots,False
ED02,e,2,1,1,1,ED02e,complete,拓扑预算涌现,reflow_or_combine_existing_plots,False
ED02,f,2,2,1,1,ED02f,complete,状态×配置收益,reflow_or_combine_existing_plots,False
ED02,g,2,3,1,1,ED02g,complete,拓扑×配置收益,reflow_or_combine_existing_plots,False
ED02,h,2,4,1,1,ED02h,complete,定向与随机复杂度需求,reflow_or_combine_existing_plots,False
ED02,i,3,1,2,1,Fig02e,complete,相对随机配置增益,reflow_or_combine_existing_plots,False
ED02,j,3,3,2,1,SI12a,complete,活动增益,reflow_or_combine_existing_plots,False
ED02,k,4,1,2,1,SI12b,complete,同步,reflow_or_combine_existing_plots,False
ED02,l,4,3,2,1,SI12c,complete,正涌现比例,reflow_or_combine_existing_plots,False
ED03,a,1,1,2,1,ED03a,complete,阶段×基线比较,reflow_or_combine_existing_plots,False
ED03,b,1,3,2,1,ED03b,complete,描述子与增益,reflow_or_combine_existing_plots,False
ED03,c,2,1,1,1,ED03c,complete,确认阶段曲线1,reflow_or_combine_existing_plots,False
ED03,d,2,2,1,1,ED03d,complete,确认阶段曲线2,reflow_or_combine_existing_plots,False
ED03,e,2,3,1,1,ED03e,complete,确认阶段曲线3,reflow_or_combine_existing_plots,False
ED03,f,2,4,1,1,ED03f,complete,确认阶段曲线4,reflow_or_combine_existing_plots,False
ED03,g,3,1,1,1,ED03g,complete,确认阶段曲线5,reflow_or_combine_existing_plots,False
ED03,h,3,2,1,1,ED03h,complete,阶段增益区间,reflow_or_combine_existing_plots,False
ED03,i,3,3,1,1,SI11a,complete,替代目标比较,reflow_or_combine_existing_plots,False
ED03,j,3,4,1,1,SI11b,complete,替代目标状态收益,reflow_or_combine_existing_plots,False
ED03,k,4,1,1,1,SI11c,complete,替代目标交叉,reflow_or_combine_existing_plots,False
ED03,l,4,2,1,1,SI11d,complete,预算随机比较,reflow_or_combine_existing_plots,False
ED03,m,4,3,1,1,SI11e,complete,随机搜索状态收益,reflow_or_combine_existing_plots,False
ED03,n,4,4,1,1,SI11f,complete,随机搜索交叉,reflow_or_combine_existing_plots,False
ED04,a,1,1,1,1,ED04a,complete,近优计数与预算,reflow_or_combine_existing_plots,False
ED04,b,1,2,1,1,ED04b,complete,近优计数与状态,reflow_or_combine_existing_plots,False
ED04,c,1,3,1,1,ED04c,complete,近优计数分布,reflow_or_combine_existing_plots,False
ED04,d,1,4,1,1,ED04d,complete,计数与多样性,reflow_or_combine_existing_plots,False
ED04,e,2,1,1,1,ED04e,complete,计数与并集,reflow_or_combine_existing_plots,False
ED04,f,2,2,1,1,ED04f,complete,计数与核心,reflow_or_combine_existing_plots,False
ED04,g,2,3,2,1,ED04h,complete,联合指标相关矩阵,reflow_or_combine_existing_plots,False
ED04,h,3,1,1,1,ED04g,complete,计数与熵,reflow_or_combine_existing_plots,False
ED04,i,3,2,1,1,ED08c,complete,多样性容差敏感性,reflow_or_combine_existing_plots,False
ED04,j,3,3,1,1,SI10a,complete,搜索深度轨迹1,reflow_or_combine_existing_plots,False
ED04,k,3,4,1,1,SI10b,complete,搜索深度轨迹2,reflow_or_combine_existing_plots,False
ED04,l,4,1,1,1,SI10c,complete,深度与交叉效应,reflow_or_combine_existing_plots,False
ED04,m,4,2,1,1,SI10d,complete,深度与本状态收益,reflow_or_combine_existing_plots,False
ED04,n,4,3,1,1,SI10e,complete,重复搜索分布,reflow_or_combine_existing_plots,False
ED04,o,4,4,1,1,SI10f,complete,冻结配置重叠,reflow_or_combine_existing_plots,False
ED05,a,1,1,1,1,ED09a,complete,低噪声六策略曲线,reflow_or_combine_existing_plots,False
ED05,b,1,2,1,1,ED09b,complete,标准噪声六策略曲线,reflow_or_combine_existing_plots,False
ED05,c,1,3,1,1,ED09c,complete,高噪声六策略曲线,reflow_or_combine_existing_plots,False
ED05,d,1,4,1,1,ED09d,complete,各策略网格最小值之差,reflow_or_combine_existing_plots,False
ED05,e,2,1,2,1,ED09e,complete,全部15条件增益区间,reflow_or_combine_existing_plots,False
ED05,f,2,3,2,1,ED10a,complete,放电率诊断,reflow_or_combine_existing_plots,False
ED05,g,3,1,2,1,ED10b,complete,主导频率诊断,reflow_or_combine_existing_plots,False
ED05,h,3,3,2,1,ED10d,complete,同步诊断,reflow_or_combine_existing_plots,False
ED05,i,4,1,2,1,ED10e,complete,谱集中度诊断,reflow_or_combine_existing_plots,False
ED05,j,4,3,2,1,ED10f,complete,谱熵诊断,reflow_or_combine_existing_plots,False
ED06,a,1,1,1,1,ED05a,complete,细胞队列构成,reflow_or_combine_existing_plots,False
ED06,b,1,2,1,1,ED05b,complete,分机制层级预测,reflow_or_combine_existing_plots,False
ED06,c,1,3,1,1,ED05c,complete,有序混淆矩阵,reflow_or_combine_existing_plots,False
ED06,d,1,4,1,1,ED05d,complete,层内效应,reflow_or_combine_existing_plots,False
ED06,e,2,1,1,1,ED05e,complete,树突类别内效应,reflow_or_combine_existing_plots,False
ED06,f,2,2,1,1,ED05f,complete,时间方向一致性,reflow_or_combine_existing_plots,False
ED06,g,2,3,1,1,ED05g,complete,长短时间上下文,reflow_or_combine_existing_plots,False
ED06,h,2,4,1,1,ED05h,complete,容差×机制比例,reflow_or_combine_existing_plots,False
ED06,i,3,1,1,1,ED05i,complete,平均机制需求,reflow_or_combine_existing_plots,False
ED06,j,3,2,1,1,ED05j,complete,容差一致性,reflow_or_combine_existing_plots,False
ED06,k,3,3,1,1,ED05k,complete,较严容差细胞转移,reflow_or_combine_existing_plots,False
ED06,l,3,4,1,1,ED05l,complete,较宽容差细胞转移,reflow_or_combine_existing_plots,False
ED06,m,4,1,1,1,SI01a,complete,PFC亚型结构效应,reflow_or_combine_existing_plots,False
ED06,n,4,2,2,2,SI01b,complete,Cre与层机制代理分布,reflow_or_combine_existing_plots,False
ED06,o,4,4,1,1,SI01c,complete,PFC亚型样本量,reflow_or_combine_existing_plots,False
ED07,a,1,1,1,1,ED06a,complete,Steinmetz模型质量,reflow_or_combine_existing_plots,False
ED07,b,1,2,1,1,ED06b,complete,有效模型比例,reflow_or_combine_existing_plots,False
ED07,c,1,3,1,1,ED06c,complete,活动与载荷混杂,reflow_or_combine_existing_plots,False
ED07,d,1,4,1,1,ED06d,complete,杠杆变化与平均活动,reflow_or_combine_existing_plots,False
ED07,e,2,1,1,1,ED06e,complete,杠杆变化与活动变化,reflow_or_combine_existing_plots,False
ED07,f,2,2,1,1,ED06f,complete,细胞身份置换,reflow_or_combine_existing_plots,False
ED07,g,2,3,1,1,ED06g,complete,Allen模型质量,reflow_or_combine_existing_plots,False
ED07,h,2,4,1,1,ED06h,complete,Allen有效模型比例,reflow_or_combine_existing_plots,False
ED07,i,3,1,1,1,ED06i,complete,Allen平均活动控制,reflow_or_combine_existing_plots,False
ED07,j,3,2,1,1,ED06j,complete,Allen活动变化控制,reflow_or_combine_existing_plots,False
ED07,k,3,3,1,1,ED06k,complete,会话内运动状态,reflow_or_combine_existing_plots,False
ED07,l,3,4,1,1,ED06l,complete,会话内瞳孔状态,reflow_or_combine_existing_plots,False
ED07,m,4,1,1,1,SI04a,complete,自适应时滞分布,reflow_or_combine_existing_plots,False
ED07,n,4,2,1,1,SI04b,complete,时滞×状态,reflow_or_combine_existing_plots,False
ED07,o,4,3,1,1,SI04d,complete,留出拟合提升,reflow_or_combine_existing_plots,False
ED07,p,4,4,1,1,SI04f,complete,模型质量与残差稳定性,reflow_or_combine_existing_plots,False
ED08,a,1,1,1,1,Fig03d,complete,六任务主要聚合比较,reflow_or_combine_existing_plots,False
ED08,b,1,2,1,1,Fig03e,complete,延迟回忆主要比较,reflow_or_combine_existing_plots,False
ED08,c,1,3,1,1,Fig03f,complete,非线性整合主要比较,reflow_or_combine_existing_plots,False
ED08,d,1,4,1,1,Fig03g,complete,脉冲顺序主要比较,reflow_or_combine_existing_plots,False
ED08,e,2,1,1,1,Fig03h,complete,间隔辨别主要比较,reflow_or_combine_existing_plots,False
ED08,f,2,2,1,1,Fig03i,complete,证据累积主要比较,reflow_or_combine_existing_plots,False
ED08,g,2,3,1,1,Fig03j,complete,上下文回忆主要比较,reflow_or_combine_existing_plots,False
ED08,h,2,4,1,1,Fig03k,complete,两方法×两状态六任务绝对分数,reflow_or_combine_existing_plots,False
ED08,i,3,1,1,1,SI14a,complete,延迟回忆完整方法,reflow_or_combine_existing_plots,False
ED08,j,3,2,1,1,SI14b,complete,非线性整合完整方法,reflow_or_combine_existing_plots,False
ED08,k,3,3,1,1,SI14c,complete,脉冲顺序完整方法,reflow_or_combine_existing_plots,False
ED08,l,3,4,1,1,SI14d,complete,间隔辨别完整方法,reflow_or_combine_existing_plots,False
ED08,m,4,1,1,1,SI14e,complete,证据累积完整方法,reflow_or_combine_existing_plots,False
ED08,n,4,2,1,1,SI14f,complete,上下文回忆完整方法,reflow_or_combine_existing_plots,False
ED08,o,4,3,1,1,SI14g,complete,六任务对未选随机,reflow_or_combine_existing_plots,False
ED08,p,4,4,1,1,SI14h,complete,六任务对分组匹配随机,reflow_or_combine_existing_plots,False
SI01,a,1,1,2,2,SI02a,complete,两代理身份吸收,reflow_or_combine_existing_plots,False
SI01,b,1,3,1,1,SI02b,complete,连接概率重复留出,reflow_or_combine_existing_plots,False
SI01,c,2,1,1,1,SI02c,complete,连续端点重复留出,reflow_or_combine_existing_plots,False
SI01,d,2,2,1,1,Fig05j,STP,局部预测增量与动力学端点,reflow_or_combine_existing_plots,False
SI01,e,2,3,1,1,Fig05j,frequency,局部预测增量与动力学端点,reflow_or_combine_existing_plots,False
SI02,a,1,1,2,2,SI03a,complete,会话去重及数据行审计,reflow_or_combine_existing_plots,False
SI02,b,1,3,1,1,SI03b,complete,预测与动力贡献相关,reflow_or_combine_existing_plots,False
SI02,c,1,4,1,1,SI04e,complete,时滞与模型质量,reflow_or_combine_existing_plots,False
SI02,d,2,1,3,3,SI03c,complete,选择结果参与度行为热图,reflow_or_combine_existing_plots,False
SI02,e,2,4,1,1,SI04c,complete,原始状态对矩阵,reflow_or_combine_existing_plots,False
SI03,a,1,1,1,1,SI05a,complete,半模型有效性,reflow_or_combine_existing_plots,False
