figure,panel,quantitative_microplots,dataset_ids,displayed_estimate,observational_unit,interval_or_spread,inference_limits
ED02,a,1,sd_08e35c3d5f3b520489f4,"Frequency-transition strength by fraction and three operating windows; log10(1+max(x,0)) applied separately to mean and each bound.",Archived per-window/fraction run counts in source n column.,"Saved mean ± ci95; ci95=1.96 sample SEM=1.96 sample SD/sqrt(n), not bootstrap or calibrated small-sample t coverage.",Runs/conditions reuse graphs and settings; not independent realized-graph interventions across every rule; no measured hardware efficiency or universal search superiority.
ED02,c,1,sd_05fc249bfd4e02154f39,"Rhythm-transition strength by fraction and three operating windows; log10(1+max(x,0)) applied separately to mean and each bound.",Archived per-window/fraction run counts in source n column.,"Saved mean ± ci95; ci95=1.96 sample SEM=1.96 sample SD/sqrt(n), not bootstrap or calibrated small-sample t coverage.",Runs/conditions reuse graphs and settings; not independent realized-graph interventions across every rule; no measured hardware efficiency or universal search superiority.
ED02,d,1,sd_4141036814c8fa4e0555,Rhythm organization by fraction and three operating windows; linear mean display.,Archived per-window/fraction run counts in source n column.,"Saved mean ± ci95; ci95=1.96 sample SEM=1.96 sample SD/sqrt(n), not bootstrap or calibrated small-sample t coverage.",Runs/conditions reuse graphs and settings; not independent realized-graph interventions across every rule; no measured hardware efficiency or universal search superiority.
ED02,b,1,sd_4bc37f5715a0880704b7,"Five-category frequency-state composition; pivot by fraction, missing categories filled with zero.",Archived composition per fraction in the frequency-transition window.,Fractions sum to one; no CI.,Runs/conditions reuse graphs and settings; not independent realized-graph interventions across every rule; no measured hardware efficiency or universal search superiority.
ED02,e,1,sd_66330205b9ba136a62d6,Mean emergence by fraction and four topology families.,52 topology/fraction summary rows with archived run counts.,"Saved mean ± ci95; ci95=1.96 sample SEM=1.96 sample SD/sqrt(n), not bootstrap or calibrated small-sample t coverage.",Runs/conditions reuse graphs and settings; not independent realized-graph interventions across every rule; no measured hardware efficiency or universal search superiority.
ED02,f,1,sd_8d9a7d8b521388d3912f,"state × six-rule gain matrix, dropping only the non-allocation none row; shared zero-centered scale; assembly removes annotations, not cells.","Archived aggregate gains, not independent matrix-cell experiments.",No intervals.,Runs/conditions reuse graphs and settings; not independent realized-graph interventions across every rule; no measured hardware efficiency or universal search superiority.
ED02,g,1,sd_17e1f99ed70196bfc365,"topology × six-rule gain matrix, dropping only the non-allocation none row; shared zero-centered scale; assembly removes annotations, not cells.","Archived aggregate gains, not independent matrix-cell experiments.",No intervals.,Runs/conditions reuse graphs and settings; not independent realized-graph interventions across every rule; no measured hardware efficiency or universal search superiority.
ED02,h,1,sd_48e53c4f654f0c71f346,"All 1,895 targeted-versus-random requirement pairs and identity line.",Archived requirement rows colored by topology; nested settings.,No intervals.,Runs/conditions reuse graphs and settings; not independent realized-graph interventions across every rule; no measured hardware efficiency or universal search superiority.
ED02,i,1,sd_4a3e3a389b2639bb604b,Rule-wise placement gain versus random; spectral alias label retained.,Archived rule/fraction run counts.,"Saved mean ± ci95; ci95=1.96 sample SEM=1.96 sample SD/sqrt(n), not bootstrap or calibrated small-sample t coverage.",Runs/conditions reuse graphs and settings; not independent realized-graph interventions across every rule; no measured hardware efficiency or universal search superiority.
ED02,j,1,sd_1f299a44cdcd020877a6,Activity gain means by four fractions.,"Four runs at each homogeneous endpoint, 12 at each intermediate fraction.","Saved mean ± ci95; ci95=1.96 sample SEM=1.96 sample SD/sqrt(n), not bootstrap or calibrated small-sample t coverage.",Runs/conditions reuse graphs and settings; not independent realized-graph interventions across every rule; no measured hardware efficiency or universal search superiority.
