figure,panel,quantitative_microplots,dataset_ids,displayed_estimate,observational_unit,interval_or_spread,inference_limits
Fig05,b,1,sd_43b567a5360385353e1e,"EV_best minus EV_cost0..3; cost1 = max(GLIF2, GLIF3). Adequacy reference epsilon=0.02.","400 source mouse cells, one row per specimen.",Median/IQR; 1.5-IQR whiskers; outlier symbols omitted.,Not a target-cell cost measurement.
Fig05,c,1,sd_b593a20cfbcae9fd0b6a;sd_306538b8385c4e1aa127,"Histogram of 300 null rho values, 28 bins; observed rho and full_pipeline_p read from JSON.","400 source cells; 300 permutations are null draws, not biological samples.",No confidence interval in this panel.,Observed nested rho is not the earlier descriptive model-comparison rho.
Fig05,d,2,sd_fcea70ce9700748ac772,"Left: spearman_rho for Temporal, Multiaxial, Metadata, Ephys+metadata, Ephys+temporal. Right: mae for Naive, Temporal, Metadata, Multiaxial, Ephys+metadata.","Source-cell held-out prediction summaries; bars are models, not replicates.","Point estimates, no uncertainty bars.","Both microplots actually read the same table. The second MAE alias is returned by the helper but not read, and has identical content."
Fig05,e,1,sd_cc6f8438dddad0a7a1d9,"spearman_rho in saved order: repeated CV, leave-layer, leave-dendrite, VISp-only.","Source cells; 400 main, 352 VISp-only.",Point estimates only.,Negative leave-dendrite transfer retained.
Fig05,f,1,sd_d30ea123d812d0c4a47c,spearman_vs_eps_0p02 and exact_agreement_vs_eps_0p02 over epsilon.,Same 400 cells across tolerances.,No confidence band.,Tolerance points are not independent cohorts.
Fig05,g,2,sd_34fcb3fccb69a3217edc;sd_1eec9d7ec2a69bceb3b9,"Left: 16 largest absolute rho entries, displayed sorted by signed rho. Right: delta_rho_full_minus_without sorted by value.",Features and removed feature categories from the source-cell analysis.,Point estimates only.,"Top-16 is magnitude-selected descriptive display, not 16 independently confirmed mechanisms."
Fig05,h,2,sd_0566ef157a527b5f95fd;sd_d41eba73c601eda40a9d,Observed source-cell cost versus out-of-fold predicted cost; visual x jitter seeds 53/54; black line = median predicted value within observed class.,350 primary and 400 conservative source cells.,No interval; jitter is visual only.,Not measured target-cell ground truth or independent target validation.
Fig05,i,2,sd_eff15dd93262ff4545d0;sd_295fc6a229aacd284fb4,Left: absorption_fraction by endpoint and mapper. Right: beta for within/between class and Cre decompositions.,Endpoint-level fitted summaries; right has four coefficient rows.,Right only: beta ± 1.96 se; left has no intervals.,"Right colors encode between/within identity, not primary/conservative mapper."
Fig05,j,1,sd_2bae1fc3ba399c534db0,"fold_local_increment_after for PSP, PSC and G_norm_50hz, separately for both definitions.",Six endpoint/definition summaries; n and n_experiments retained in source.,Points only: no confidence interval is plotted.,Held-out prediction increment is distinct from an in-sample coefficient.
Fig05,k,1,sd_b5df5e40bba683628413,beta_after_identity by endpoint and definition.,Endpoint-specific pairs and experiment clusters; counts in table.,beta_after_identity ± 1.96 se_after_identity.,Connection log odds and continuous standardized coefficients have different scales.
Fig06,b,2,sd_789bd813d0296d1b5ef1;sd_13e92ed9a467caad65ba;sd_0b37995c0627e6b0c994,Left: merge raw/residual median_rho on state_a/state_b. Right: backbone_fraction distribution.,Left state-pair summaries; right 39 sessions from 10 mice.,Left no intervals; right median/IQR/1.5-IQR whiskers plus individual values.,Sessions within mouse are not independent animals.
Fig06,c,2,sd_ccfe3d0f40f3bf475c18;sd_d83cd1d972ec69fa5707;sd_fce7ab1d978f7325f229,Left raw/residual state-pair median_rho; right median_rho versus r2_threshold within each state pair.,Container-level source analyses summarized by state pairs and quality thresholds.,"Connected summary points, not animal trajectories; no confidence intervals.",Counts vary by state pair and quality gate.
Fig06,d,2,sd_789bd813d0296d1b5ef1;sd_ccfe3d0f40f3bf475c18;sd_a9a3802e078499dc56ab;sd_0b37995c0627e6b0c994;sd_b4b7856a3d3a58c2bf43,"Left median of median_rho across state-pair summary rows for each dataset, plus running/pupil median_rho. Right backbone_fraction distributions.",Nested session/container/state summaries; running/pupil use 71/69 experiments.,Bars no CI; boxes median/IQR/1.5-IQR whiskers and individual values.,"Cross-dataset contrasts are descriptive, not a matched experimental intervention."
Fig06,e,2,sd_eee33052633db55c847e;sd_d220e46a29901760a7ac;sd_66abcb2658a4c26e2ba4,Left home/cross mouse means. Right mouse crossover with arithmetic mean and frozen bootstrap_ci_low/high.,"12 mice, same cohort in all OpenScope controls.","Right 50,000-resample formal mouse-bootstrap CI; left mean line only.",Repeat-averaged endpoint differs from fixed-repeat null in f.
Fig06,f,1,sd_92e3c3dedd1577c5b460,35-bin null histogram; observed column reference; plus-one P=(count(null>=observed)+1)/(2000+1).,"2,000 matched null draws; fixed repeat 0 of the same 12 mice.",No CI.,Permutation draws are not independent animals.
Fig06,g,1,sd_95644ce1ca8780567e7e,Home/cross AUC pairs and arithmetic mean; source already averages 24 disjoint-unit splits within each mouse.,"12 rows = 12 mice, each repeats=24. Not 288 plotted or independent samples.",Paired mouse lines and mean only; no interval.,Disjoint unit subsets separate state definition from decoder features.
Fig06,h,1,sd_b44b2edf819359aed2a3;sd_23b5385fd32c0fb107a3,"same_image_state_auc_excess_mean by mouse, arithmetic mean, frozen bootstrap_ci_low/high.",Same 12 mice.,"50,000-resample formal mouse-bootstrap CI.","AUC excess is relative to 0.5, not decoder home-minus-cross."
Fig06,i,1,sd_ae5311830a20d9eed4bf;sd_ecb2794227a608b4b4da;sd_7da2bbe9c315aa0a2588,"Merge on subject, display _abs_time, _abs_run and state_stimulus_cramers_v plus means.",12 mice after subject merge.,No intervals.,Different association scales are not interchangeable measures of causal confounding.
Fig06,j,2,sd_f82233d80444be3e889a;sd_6cca44d080b89a6af499,Left paired home/cross AUC; right crossover and mean with deterministic percentile mean bootstrap.,Same 12 mice.,"Right 20,000 resamples, NumPy default_rng seed 90260908; descriptive 2.5/97.5 percentiles.","Not the formal 50,000-resample interval from e/h."
