figure,panel,quantitative_microplots,dataset_ids,displayed_estimate,observational_unit,interval_or_spread,inference_limits
Fig01,b,2,sd_768480c9a5c0bc62aa22,Primary and matched graph crossover: half the sum of reciprocal home-state advantages.,"Same 12 independent inference graphs, IDs 93001–93012; noise/repeats averaged before inference.","Mean diamonds and 20,000-resample graph percentile CIs, display seeds 20260829/20260830; exact one-sided sign-flip P.","Matched is a paired control, not a new graph cohort; model classes do not define universal biological complexity."
Fig01,c,1,sd_2408303a9ecbb4f08762,"3×3 directed source-to-evaluation matrix of mean score differences from evaluation-state home allocation; symmetric color scale, two-decimal annotations.","Nine historical matrix summaries, not nine independent replicates.",No uncertainty shown.,Dense state also changes connection density; auxiliary to fixed-density mid/sparse comparison.
Fig01,d,2,sd_93cace5ae14b9907cd1c,"Mid and sparse home advantages by k=8,32,64; raw graph points only.","Three closure graphs, IDs 42001–42003, repeatedly observed at three budgets.",No CI or mean summary shown.,Historical closure cohort differs from the 12 inference graphs; budgets are repeated measurements.
Fig01,e,1,sd_aeb797b9a37a3aec1c72,"Foreign versus home score, colored by mid/sparse source state, with identity reference.",72 nested values: three closure graphs × three budgets × four sampled candidates × two source states.,No uncertainty interval.,The plotted table does not label candidate identity; its values are checked against the candidate-level archive.
Fig01,f,3,sd_b60b029244c936451956,"Mean selected-minus-spectral gain by state and k=8,16,24,32,48,64.","Two historical discovery graphs, IDs 41001/41002: two matched task observations per state-budget cell, 36 conditions overall.","Saved 10,000-resample condition-bootstrap 95% intervals; with n=2 these equal the observed pair minimum/maximum.","Discovery, not the three-graph closure cohort or independent 12-graph confirmation; 18 points share two graphs."
Fig01,g,1,sd_93cace5ae14b9907cd1c,"Individual graph crossover curves and equal-graph mean versus k=8,32,64.",Same three closure graphs as d/e.,Thin graph lines and mean line; no CI.,Same paired source values as d; not an additional replication.
Fig01,h,2,sd_295146dce895ddb48c33,"Simple-unit rate traces, mean simple/complex rates and mean absolute rate mismatch versus simple-unit bias; reference at 1.55.",252 rows: three calibration graphs × two states × two noise seeds × 21 bias values; 12 nested observations per bias.,"Individual rate traces plus arithmetic means, no CI.",Calibration graphs are disjoint from inference graphs; mean absolute mismatch differs from absolute mean mismatch.
Fig01,i,1,sd_42182c12681e02cbda85,"Original-simple, complex and matched-simple rates connected within calibration condition.",12 graph-state-noise rows from the same three calibration graphs.,All paired observations; no mean/CI.,12 lines are not 12 independent graphs. Matched simple rate is taken from bias 1.55.
Fig01,j,1,sd_95dd57dbb52d81a10d0b,"Four validation-rate boxes: primary home/foreign, matched home/foreign.","24 graph-state observations per box from 12 inference graphs, two source states, archived repeat 0 only.","Median/IQR boxes and 1.5-IQR whiskers; outlier symbols omitted, source observations retained.",Descriptive fixed-repeat rate distributions; not 24 independent graphs or the repeat-averaged primary estimator.
Fig02,b,2,sd_8d2af417758a223838b5;sd_eba9435b67e36503b6ff,Stacked frequency-state fractions within each mechanism fraction; missing state cells filled with zero.,"11 or 12 sampled mechanism fractions, five frequency states; each stack totals one.","State proportions, no CI; denominator run counts absent from these two summary tables.","Historical sweep summaries, aggregated across sampled conditions; run counts are not a recovered independent-graph hierarchy."
