figure,panel,quantitative_microplots,dataset_ids,displayed_estimate,observational_unit,interval_or_spread,inference_limits
ED08,a,1,sd_2fe45a875165fe9d1f47;sd_eab3d59c11bcbc7fbc32,Equal-weight six-task graph mean of selected-minus-equal-budget-random worst-state normalized score.,Same 12 formal task graphs; six tasks share this graph cohort.,"Frozen 20,000-resample graph-bootstrap CI; exact two-sided P=0.22021484375, no task-family Holm for aggregate.",Primary aggregate is null; six tasks are not six independent graph cohorts.
ED08,b,1,sd_2fe45a875165fe9d1f47;sd_eab3d59c11bcbc7fbc32,delayed_recall: primary selected-minus-equal-budget-random worst-state normalized gain.,Same 12 formal task graphs; six tasks share this graph cohort.,Frozen graph-bootstrap CI and six-task Holm-adjusted exact two-sided sign-flip P.,All six primary tasks retained; none passes the corrected primary task test.
ED08,c,1,sd_2fe45a875165fe9d1f47;sd_eab3d59c11bcbc7fbc32,nonlinear_integration: primary selected-minus-equal-budget-random worst-state normalized gain.,Same 12 formal task graphs; six tasks share this graph cohort.,Frozen graph-bootstrap CI and six-task Holm-adjusted exact two-sided sign-flip P.,All six primary tasks retained; none passes the corrected primary task test.
ED08,d,1,sd_2fe45a875165fe9d1f47;sd_eab3d59c11bcbc7fbc32,pulse_order: primary selected-minus-equal-budget-random worst-state normalized gain.,Same 12 formal task graphs; six tasks share this graph cohort.,Frozen graph-bootstrap CI and six-task Holm-adjusted exact two-sided sign-flip P.,All six primary tasks retained; none passes the corrected primary task test.
ED08,e,1,sd_2fe45a875165fe9d1f47;sd_eab3d59c11bcbc7fbc32,interval: primary selected-minus-equal-budget-random worst-state normalized gain.,Same 12 formal task graphs; six tasks share this graph cohort.,Frozen graph-bootstrap CI and six-task Holm-adjusted exact two-sided sign-flip P.,All six primary tasks retained; none passes the corrected primary task test.
ED08,f,1,sd_2fe45a875165fe9d1f47;sd_eab3d59c11bcbc7fbc32,evidence_accumulation: primary selected-minus-equal-budget-random worst-state normalized gain.,Same 12 formal task graphs; six tasks share this graph cohort.,Frozen graph-bootstrap CI and six-task Holm-adjusted exact two-sided sign-flip P.,All six primary tasks retained; none passes the corrected primary task test.
ED08,g,1,sd_2fe45a875165fe9d1f47;sd_eab3d59c11bcbc7fbc32,context_recall: primary selected-minus-equal-budget-random worst-state normalized gain.,Same 12 formal task graphs; six tasks share this graph cohort.,Frozen graph-bootstrap CI and six-task Holm-adjusted exact two-sided sign-flip P.,All six primary tasks retained; none passes the corrected primary task test.
ED08,h,1,sd_ed698b866d7d9593bcd9;sd_eab3d59c11bcbc7fbc32,"6×4 matrix: normalized state-matched means across graphs; columns selected-low, selected-high, random-low, random-high.",Same 12 formal task graphs; six tasks share this graph cohort.,No CI. All values lie in the displayed 0–1 color range; annotations use two decimals.,"Means at individual states, not worst-state contrasts or predictions pooled across graphs."
ED08,i,1,sd_ed698b866d7d9593bcd9;sd_3ca292a7930a12263efa;sd_eab3d59c11bcbc7fbc32,"delayed_recall: all 11 methods, arithmetic mean raw score over two states within graph, then equal-graph mean.",Same 12 formal task graphs; six tasks share this graph cohort.,"Display 20,000-resample graph-bootstrap percentile CI, reset seed 90260908 for each method; not the frozen worst-state CI.","Recall score or binary accuracy axes. Input-history/constant references each use one shared input realization, not 12 controls. Pool specialists are not external oracles."
ED08,j,1,sd_ed698b866d7d9593bcd9;sd_3ca292a7930a12263efa;sd_eab3d59c11bcbc7fbc32,"nonlinear_integration: all 11 methods, arithmetic mean raw score over two states within graph, then equal-graph mean.",Same 12 formal task graphs; six tasks share this graph cohort.,"Display 20,000-resample graph-bootstrap percentile CI, reset seed 90260908 for each method; not the frozen worst-state CI.","Recall score or binary accuracy axes. Input-history/constant references each use one shared input realization, not 12 controls. Pool specialists are not external oracles."
ED08,k,1,sd_ed698b866d7d9593bcd9;sd_3ca292a7930a12263efa;sd_eab3d59c11bcbc7fbc32,"pulse_order: all 11 methods, arithmetic mean raw score over two states within graph, then equal-graph mean.",Same 12 formal task graphs; six tasks share this graph cohort.,"Display 20,000-resample graph-bootstrap percentile CI, reset seed 90260908 for each method; not the frozen worst-state CI.","Recall score or binary accuracy axes. Input-history/constant references each use one shared input realization, not 12 controls. Pool specialists are not external oracles."
ED08,l,1,sd_ed698b866d7d9593bcd9;sd_3ca292a7930a12263efa;sd_eab3d59c11bcbc7fbc32,"interval: all 11 methods, arithmetic mean raw score over two states within graph, then equal-graph mean.",Same 12 formal task graphs; six tasks share this graph cohort.,"Display 20,000-resample graph-bootstrap percentile CI, reset seed 90260908 for each method; not the frozen worst-state CI.","Recall score or binary accuracy axes. Input-history/constant references each use one shared input realization, not 12 controls. Pool specialists are not external oracles."
ED08,m,1,sd_ed698b866d7d9593bcd9;sd_3ca292a7930a12263efa;sd_eab3d59c11bcbc7fbc32,"evidence_accumulation: all 11 methods, arithmetic mean raw score over two states within graph, then equal-graph mean.",Same 12 formal task graphs; six tasks share this graph cohort.,"Display 20,000-resample graph-bootstrap percentile CI, reset seed 90260908 for each method; not the frozen worst-state CI.","Recall score or binary accuracy axes. Input-history/constant references each use one shared input realization, not 12 controls. Pool specialists are not external oracles."
ED08,n,1,sd_ed698b866d7d9593bcd9;sd_3ca292a7930a12263efa;sd_eab3d59c11bcbc7fbc32,"context_recall: all 11 methods, arithmetic mean raw score over two states within graph, then equal-graph mean.",Same 12 formal task graphs; six tasks share this graph cohort.,"Display 20,000-resample graph-bootstrap percentile CI, reset seed 90260908 for each method; not the frozen worst-state CI.","Recall score or binary accuracy axes. Input-history/constant references each use one shared input realization, not 12 controls. Pool specialists are not external oracles."
ED08,o,1,sd_2fe45a875165fe9d1f47;sd_eab3d59c11bcbc7fbc32,All six population_vs_unselected_random worst-state normalized gains: per-mask minimum precedes within-graph control averaging.,Same 12 formal task graphs; six tasks share this graph cohort.,"Frozen graph-bootstrap CI; corrected P values in SI Table 2, not printed in these panels.",Secondary family does not replace the primary null; no worst-of-control-mean substitution.
ED08,p,1,sd_2fe45a875165fe9d1f47;sd_eab3d59c11bcbc7fbc32,All six population_vs_group_matched worst-state normalized gains: per-mask minimum precedes within-graph control averaging.,Same 12 formal task graphs; six tasks share this graph cohort.,"Frozen graph-bootstrap CI; corrected P values in SI Table 2, not printed in these panels.",Secondary family does not replace the primary null; no worst-of-control-mean substitution.
