figure,panel,quantitative_microplots,dataset_ids,displayed_estimate,observational_unit,interval_or_spread,inference_limits
ED07,a,1,sd_1ea8e1128f41923d7512,Steinmetz latent_r2 by state.,39 sessions x 5 states = 195 fits; 10 mice.,"Median/IQR/1.5-IQR whiskers; jittered source observations, no confidence interval.",Descriptive source analysis; no model refit or new causal interpretation.
ED07,g,1,sd_777e94efab618d9132cd,Allen latent_r2 by state.,"72 experiments, 24 per state, nested in 24 containers/mice.","Median/IQR/1.5-IQR whiskers; jittered source observations, no confidence interval.",Descriptive source analysis; no model refit or new causal interpretation.
ED07,b,1,sd_1ea8e1128f41923d7512,Fraction of latent_r2 values >0 per state.,Same session/experiment fits as a or g; no new sample.,No confidence interval.,Descriptive source analysis; no model refit or new causal interpretation.
ED07,h,1,sd_777e94efab618d9132cd,Fraction of latent_r2 values >0 per state.,Same session/experiment fits as a or g; no new sample.,No confidence interval.,Descriptive source analysis; no model refit or new causal interpretation.
ED07,c,1,sd_3ca45ffb3d903b1b3959,Spearman rho with leverage rank for mean activity and PCA loading norm.,"195 session-state correlations per covariate, nested in 39 sessions/10 mice.","Median/IQR/1.5-IQR whiskers; jittered source observations, no confidence interval.",Descriptive source analysis; no model refit or new causal interpretation.
ED07,d,1,sd_9ed5cfae4550b26ee4e1,role_flexibility versus mean_activity; displayed descriptive Spearman rho uses all source rows.,"48,339 neurons nested in 39 sessions/10 mice.","No CI; original x upper limit is 99.5th percentile, y upper limit 1.04 times 99.5th percentile.",Some plotted coordinates are outside inherited display limits; all data retained. Correlation is not an independent-cell causal test.
ED07,e,1,sd_9ed5cfae4550b26ee4e1,role_flexibility versus activity_flexibility; displayed descriptive Spearman rho uses all source rows.,"Same 48,339 neurons.","No CI; original x upper limit is 99.5th percentile, y upper limit 1.04 times 99.5th percentile.",Some plotted coordinates are outside inherited display limits; all data retained. Correlation is not an independent-cell causal test.
ED07,i,1,sd_4c3fde7ef706650fa13e,role_flexibility versus mean_activity; displayed descriptive Spearman rho uses all source rows.,"1,730 matched cells nested in Allen containers.","No CI; original x upper limit is 99.5th percentile, y upper limit 1.04 times 99.5th percentile.",Some plotted coordinates are outside inherited display limits; all data retained. Correlation is not an independent-cell causal test.
ED07,j,1,sd_4c3fde7ef706650fa13e,role_flexibility versus activity_flexibility; displayed descriptive Spearman rho uses all source rows.,"Same 1,730 matched cells.","No CI; original x upper limit is 99.5th percentile, y upper limit 1.04 times 99.5th percentile.",Some plotted coordinates are outside inherited display limits; all data retained. Correlation is not an independent-cell causal test.
ED07,f,1,sd_729cb1003230252deabf,Observed session-mean flexibility versus shuffled mean; text gives median observed_to_null.,"39 session summaries, not shuffled draws as biological samples.",No confidence interval.,Descriptive source analysis; no model refit or new causal interpretation.
