figure,panel,quantitative_microplots,dataset_ids,displayed_estimate,observational_unit,interval_or_spread,inference_limits
ED05,a,1,sd_6af9838271aac05334ef,Rhythm-score means across five couplings for all six policies at noise=0.8.,"12 reused independent graph identities; 24 noise repeats nested in graph-condition-method; 15 conditions and 6 policies are repeated evaluations, not independent graph replicates.","Pointwise 95% percentile graph-bootstrap bands; 10,000 resamples. Every policy retains its band.","Finite local grid and frozen configurations; no condition-wise reoptimization, simultaneous significance, unseen-graph generalization or sufficiency claim."
ED05,b,1,sd_6af9838271aac05334ef,Rhythm-score means across five couplings for all six policies at noise=1.0.,"12 reused independent graph identities; 24 noise repeats nested in graph-condition-method; 15 conditions and 6 policies are repeated evaluations, not independent graph replicates.","Pointwise 95% percentile graph-bootstrap bands; 10,000 resamples. Every policy retains its band.","Finite local grid and frozen configurations; no condition-wise reoptimization, simultaneous significance, unseen-graph generalization or sufficiency claim."
ED05,c,1,sd_6af9838271aac05334ef,Rhythm-score means across five couplings for all six policies at noise=1.2.,"12 reused independent graph identities; 24 noise repeats nested in graph-condition-method; 15 conditions and 6 policies are repeated evaluations, not independent graph replicates.","Pointwise 95% percentile graph-bootstrap bands; 10,000 resamples. Every policy retains its band.","Finite local grid and frozen configurations; no condition-wise reoptimization, simultaneous significance, unseen-graph generalization or sufficiency claim."
ED05,d,1,sd_0f2d2f7e53593c8c9573;sd_62025e1a4762177f5bc6,"12 graph-wise differences min_condition(shared score) minus min_condition(random score), plus group mean. NOT min_condition(paired shared-minus-random gain).","12 reused independent graph identities; 24 noise repeats nested in graph-condition-method; 15 conditions and 6 policies are repeated evaluations, not independent graph replicates.","10,000-resample graph-bootstrap interval of mean; descriptive finite-noise minima, no added hypothesis test.","Finite local grid and frozen configurations; no condition-wise reoptimization, simultaneous significance, unseen-graph generalization or sufficiency claim."
ED05,e,1,sd_5763e99ce9128e60b0fe,All 15 mean shared-minus-random gains ordered first by noise then coupling.,"12 reused independent graph identities; 24 noise repeats nested in graph-condition-method; 15 conditions and 6 policies are repeated evaluations, not independent graph replicates.",Pointwise 95% percentile graph-bootstrap intervals; not simultaneous intervals.,"Finite local grid and frozen configurations; no condition-wise reoptimization, simultaneous significance, unseen-graph generalization or sufficiency claim."
ED05,f,1,sd_feccd8635346ae03cba6,18x5 matrix of mean_rate_hz: rows policy-major/noise-minor; columns coupling. Mean across graph-level values after their noise averaging.,"12 reused independent graph identities; 24 noise repeats nested in graph-condition-method; 15 conditions and 6 policies are repeated evaluations, not independent graph replicates.","No interval in matrix; metric-specific color normalization, darker does not mean better.","Finite local grid and frozen configurations; no condition-wise reoptimization, simultaneous significance, unseen-graph generalization or sufficiency claim."
ED05,g,1,sd_feccd8635346ae03cba6,18x5 matrix of dominant_frequency_hz: rows policy-major/noise-minor; columns coupling. Mean across graph-level values after their noise averaging.,"12 reused independent graph identities; 24 noise repeats nested in graph-condition-method; 15 conditions and 6 policies are repeated evaluations, not independent graph replicates.","No interval in matrix; metric-specific color normalization, darker does not mean better.","Finite local grid and frozen configurations; no condition-wise reoptimization, simultaneous significance, unseen-graph generalization or sufficiency claim."
ED05,h,1,sd_feccd8635346ae03cba6,18x5 matrix of synchrony_proxy: rows policy-major/noise-minor; columns coupling. Mean across graph-level values after their noise averaging.,"12 reused independent graph identities; 24 noise repeats nested in graph-condition-method; 15 conditions and 6 policies are repeated evaluations, not independent graph replicates.","No interval in matrix; metric-specific color normalization, darker does not mean better.","Finite local grid and frozen configurations; no condition-wise reoptimization, simultaneous significance, unseen-graph generalization or sufficiency claim."
ED05,i,1,sd_feccd8635346ae03cba6,18x5 matrix of spectral_concentration: rows policy-major/noise-minor; columns coupling. Mean across graph-level values after their noise averaging.,"12 reused independent graph identities; 24 noise repeats nested in graph-condition-method; 15 conditions and 6 policies are repeated evaluations, not independent graph replicates.","No interval in matrix; metric-specific color normalization, darker does not mean better.","Finite local grid and frozen configurations; no condition-wise reoptimization, simultaneous significance, unseen-graph generalization or sufficiency claim."
ED05,j,1,sd_feccd8635346ae03cba6,18x5 matrix of spectral_entropy: rows policy-major/noise-minor; columns coupling. Mean across graph-level values after their noise averaging.,"12 reused independent graph identities; 24 noise repeats nested in graph-condition-method; 15 conditions and 6 policies are repeated evaluations, not independent graph replicates.","No interval in matrix; metric-specific color normalization, darker does not mean better.","Finite local grid and frozen configurations; no condition-wise reoptimization, simultaneous significance, unseen-graph generalization or sufficiency claim."
